split,style,balanced,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(8, 8)",checker,True,22000.0,278,22,"{'G3': 14, 'G4': 8}",139,139,"{'G2': 50, 'G3': 8, 'G4': 16, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 8, 'G4': 16, 'G5': 25, 'G1': 40}",0.6493150255493902,0.30833333333333335,150.0,16,0,16,0
"(8, 8)",checker,True,30000.0,270,30,"{'G3': 14, 'G4': 16}",135,135,"{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 12, 'G1': 40}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 12, 'G1': 40}",0.5991567133765949,0.2916666666666667,156.25,16,0,16,0
"(8, 8)",checker,False,20038.356726961138,280,20,"{'G3': 12, 'G4': 8}",133,147,"{'G2': 23, 'G3': 8, 'G4': 16, 'G5': 42, 'G1': 44}","{'G2': 77, 'G3': 10, 'G4': 16, 'G5': 8, 'G1': 36}",0.656629779407923,0.3108333333333333,112.5,18,0,18,0
"(8, 8)",checker,False,22070.378856181487,278,22,"{'G3': 14, 'G4': 8}",154,124,"{'G2': 84, 'G3': 8, 'G4': 16, 'G5': 42, 'G1': 4}","{'G2': 16, 'G3': 8, 'G4': 16, 'G5': 8, 'G1': 76}",0.6493150255493902,0.30833333333333335,112.5,16,0,16,0
"(8, 8)",checker,False,38293.48342999258,262,38,"{'G3': 14, 'G4': 24}",192,70,"{'G2': 84, 'G3': 8, 'G5': 50, 'G1': 50}","{'G2': 16, 'G3': 8, 'G4': 16, 'G1': 30}",0.5489984012037995,0.275,137.14285714285714,16,0,16,0
"(10, 10)",front_rows,True,76000.0,224,76,"{'G1': 6, 'G2': 60, 'G3': 10}",112,112,"{'G2': 20, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 37}","{'G2': 20, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 37}",0.6342414077766283,0.284,112.5,20,0,20,0
"(10, 10)",front_rows,True,66000.0,234,66,"{'G1': 56, 'G3': 10}",117,117,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 12}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 12}",0.6087703898763807,0.274,137.14285714285714,20,0,20,0
"(10, 10)",front_rows,True,48000.0,252,48,"{'G1': 28, 'G3': 10, 'G4': 10}",126,126,"{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 15, 'G1': 26}","{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 15, 'G1': 26}",0.5987387274418215,0.2811666666666667,156.25,20,0,20,0
"(10, 10)",front_rows,False,78022.1158510716,222,78,"{'G1': 11, 'G2': 57, 'G3': 10}",106,116,"{'G2': 21, 'G3': 10, 'G4': 20, 'G5': 42, 'G1': 13}","{'G2': 22, 'G3': 10, 'G4': 20, 'G5': 8, 'G1': 56}",0.6282655151154164,0.281,112.5,20,0,20,0
"(10, 10)",front_rows,False,65037.43923842962,235,65,"{'G1': 55, 'G3': 10}",109,126,"{'G2': 37, 'G3': 10, 'G4': 20, 'G5': 42}","{'G2': 63, 'G3': 10, 'G4': 20, 'G5': 8, 'G1': 25}",0.6106513265828605,0.275,137.14285714285714,20,0,20,0
"(10, 10)",front_rows,False,32060.940341912494,268,32,"{'G1': 12, 'G3': 10, 'G4': 10}",148,120,"{'G2': 78, 'G3': 10, 'G5': 50, 'G4': 10}","{'G2': 22, 'G3': 10, 'G4': 20, 'G1': 68}",0.6288337147454988,0.2971666666666667,156.25,20,0,20,0
"(10, 10)",side_rows,True,74000.0,226,74,"{'G1': 4, 'G2': 60, 'G3': 10}",113,113,"{'G2': 20, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 38}","{'G2': 20, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 38}",0.6380032811895879,0.286,112.5,20,0,20,0
"(10, 10)",side_rows,True,68000.0,232,68,"{'G1': 58, 'G3': 10}",116,116,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 11}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 11}",0.605008516463421,0.272,112.5,20,0,20,0
"(10, 10)",side_rows,True,54000.0,246,54,"{'G1': 40, 'G3': 10, 'G4': 4}",123,123,"{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 18, 'G1': 20}","{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 18, 'G1': 20}",0.6137862210936602,0.2816666666666667,156.25,20,0,20,0
"(10, 10)",side_rows,False,70089.4000564281,230,70,"{'G1': 6, 'G2': 54, 'G3': 10}",95,135,"{'G2': 20, 'G3': 10, 'G4': 24, 'G5': 33, 'G1': 8}","{'G2': 26, 'G3': 10, 'G4': 16, 'G5': 17, 'G1': 66}",0.6410989895190027,0.28800000000000003,112.5,20,0,20,0
"(10, 10)",side_rows,False,69080.22311044234,231,69,"{'G1': 59, 'G3': 10}",96,135,"{'G2': 29, 'G3': 10, 'G4': 24, 'G5': 33}","{'G2': 71, 'G3': 10, 'G4': 16, 'G5': 17, 'G1': 21}",0.6031275797569412,0.271,112.5,20,0,20,0
"(10, 10)",side_rows,False,30135.4739584313,270,30,"{'G1': 12, 'G3': 10, 'G4': 8}",165,105,"{'G2': 80, 'G3': 10, 'G5': 50, 'G4': 8, 'G1': 17}","{'G2': 20, 'G3': 10, 'G4': 24, 'G1': 51}",0.6413732927886977,0.30133333333333334,156.25,20,0,20,0
"(10, 10)",checker,True,18000.0,282,18,"{'G3': 2, 'G4': 16}",141,141,"{'G2': 50, 'G3': 14, 'G4': 12, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 14, 'G4': 12, 'G5': 25, 'G1': 40}",0.6430452365277909,0.30666666666666664,200.0,28,0,28,0
"(10, 10)",checker,True,26000.0,274,26,"{'G3': 10, 'G4': 16}",137,137,"{'G2': 50, 'G3': 10, 'G4': 12, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 12, 'G5': 25, 'G1': 40}",0.6137862210936602,0.2966666666666667,112.5,20,0,20,0
"(10, 10)",checker,True,34000.0,266,34,"{'G3': 10, 'G4': 24}",133,133,"{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 8, 'G1': 40}","{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 8, 'G1': 40}",0.5636279089208648,0.28,156.25,20,0,20,0
"(10, 10)",checker,False,24011.795010292903,276,24,"{'G3': 8, 'G4': 16}",138,138,"{'G2': 29, 'G3': 10, 'G4': 12, 'G5': 33, 'G1': 54}","{'G2': 71, 'G3': 12, 'G4': 12, 'G5': 17, 'G1': 26}",0.6211009749521929,0.2991666666666667,137.14285714285714,22,0,22,0
"(10, 10)",checker,False,26104.102498510925,274,26,"{'G3': 10, 'G4': 16}",159,115,"{'G2': 80, 'G3': 10, 'G4': 12, 'G5': 33, 'G1': 24}","{'G2': 20, 'G3': 10, 'G4': 12, 'G5': 17, 'G1': 56}",0.6137862210936602,0.29666666666666663,137.14285714285714,20,0,20,0
"(10, 10)",checker,False,38244.44524279758,262,38,"{'G3': 10, 'G4': 28}",182,80,"{'G2': 80, 'G3': 10, 'G5': 42, 'G1': 50}","{'G2': 20, 'G3': 10, 'G5': 8, 'G4': 12, 'G1': 30}",0.5385487528344671,0.27166666666666667,137.14285714285714,20,0,20,0
"(12, 12)",front_rows,True,110000.0,190,110,"{'G1': 52, 'G2': 52, 'G3': 6}",95,95,"{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 14}","{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 14}",0.5714912693187875,0.24833333333333332,112.5,24,0,24,0
"(12, 12)",front_rows,True,90000.0,210,90,"{'G1': 80, 'G2': 4, 'G3': 6}",105,105,"{'G2': 48, 'G3': 12, 'G4': 20, 'G5': 25}","{'G2': 48, 'G3': 12, 'G4': 20, 'G5': 25}",0.5736856954763472,0.25233333333333335,112.5,24,0,24,0
"(12, 12)",front_rows,True,60000.0,240,60,"{'G1': 38, 'G3': 6, 'G4': 16}",120,120,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 21}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 21}",0.556940133964492,0.26366666666666666,156.25,24,0,24,0
"(12, 12)",front_rows,False,110008.45079156086,190,110,"{'G1': 52, 'G2': 52, 'G3': 6}",93,97,"{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 30, 'G1': 7}","{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 20, 'G1': 21}",0.5714912693187875,0.24833333333333332,112.5,24,0,24,0
"(12, 12)",front_rows,False,90028.67023417662,210,90,"{'G1': 80, 'G2': 4, 'G3': 6}",98,112,"{'G2': 36, 'G3': 12, 'G4': 20, 'G5': 30}","{'G2': 60, 'G3': 12, 'G4': 20, 'G5': 20}",0.5736856954763472,0.25233333333333335,112.5,24,0,24,0
"(12, 12)",front_rows,False,58078.16818656802,242,58,"{'G1': 37, 'G3': 6, 'G4': 15}",139,103,"{'G2': 72, 'G3': 12, 'G5': 50, 'G4': 5}","{'G2': 28, 'G3': 12, 'G4': 20, 'G1': 43}",0.5650908596925713,0.26675,156.25,24,0,24,0
"(12, 12)",side_rows,True,106000.0,194,106,"{'G1': 48, 'G2': 52, 'G3': 6}",97,97,"{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 16}","{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 16}",0.5790150161447067,0.25233333333333335,112.5,24,0,24,0
"(12, 12)",side_rows,True,106000.0,194,106,"{'G1': 80, 'G2': 20, 'G3': 6}",97,97,"{'G2': 40, 'G3': 12, 'G4': 20, 'G5': 25}","{'G2': 40, 'G3': 12, 'G4': 20, 'G5': 25}",0.5553988108300155,0.24166666666666667,112.5,24,0,24,0
"(12, 12)",side_rows,True,46000.0,254,46,"{'G1': 24, 'G3': 6, 'G4': 16}",127,127,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 28}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 28}",0.5832732478552096,0.2776666666666667,156.25,24,0,24,0
"(12, 12)",side_rows,False,110008.45079156086,190,110,"{'G1': 52, 'G2': 52, 'G3': 6}",93,97,"{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 30, 'G1': 7}","{'G2': 24, 'G3': 12, 'G4': 20, 'G5': 20, 'G1': 21}",0.5714912693187875,0.24833333333333332,112.5,24,0,24,0
"(12, 12)",side_rows,False,106014.22512095468,194,106,"{'G1': 80, 'G2': 20, 'G3': 6}",94,100,"{'G2': 32, 'G3': 12, 'G4': 20, 'G5': 30}","{'G2': 48, 'G3': 12, 'G4': 20, 'G5': 20}",0.5553988108300156,0.24166666666666667,112.5,24,0,24,0
"(12, 12)",side_rows,False,34127.97778979487,266,34,"{'G1': 13, 'G3': 6, 'G4': 15}",161,105,"{'G2': 76, 'G3': 12, 'G5': 50, 'G4': 5, 'G1': 18}","{'G2': 24, 'G3': 12, 'G4': 20, 'G1': 49}",0.6102333406480872,0.29075,156.25,24,0,24,0
"(12, 12)",checker,True,40000.0,260,40,"{'G3': 4, 'G4': 36}",130,130,"{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 40, 'G4': 2}","{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 40, 'G4': 2}",0.5103347022372697,0.2625,112.5,26,0,26,0
"(12, 12)",checker,True,36000.0,264,36,"{'G3': 6, 'G4': 30}",132,132,"{'G2': 50, 'G3': 12, 'G5': 25, 'G1': 40, 'G4': 5}","{'G2': 50, 'G3': 12, 'G5': 25, 'G1': 40, 'G4': 5}",0.5406386825083336,0.2725,133.33333333333334,24,0,24,0
"(12, 12)",checker,True,30000.0,270,30,"{'G3': 6, 'G4': 24}",135,135,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 8, 'G1': 40}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 8, 'G1': 40}",0.5782574166379302,0.285,156.25,24,0,24,0
"(12, 12)",checker,False,46130.31989926539,254,46,"{'G3': 6, 'G4': 40}",150,104,"{'G2': 34, 'G3': 12, 'G5': 36, 'G1': 68}","{'G2': 66, 'G3': 12, 'G5': 14, 'G1': 12}",0.4779407922923393,0.2516666666666667,133.33333333333334,24,0,24,0
"(12, 12)",checker,False,46220.52125980961,254,46,"{'G3': 6, 'G4': 40}",171,83,"{'G2': 76, 'G3': 12, 'G5': 36, 'G1': 47}","{'G2': 24, 'G3': 12, 'G5': 14, 'G1': 33}",0.4779407922923394,0.25166666666666665,150.0,24,0,24,0
"(12, 12)",checker,False,44213.18001086763,256,44,"{'G3': 6, 'G4': 38}",171,85,"{'G2': 76, 'G3': 12, 'G5': 36, 'G1': 47}","{'G2': 24, 'G3': 12, 'G5': 14, 'G4': 2, 'G1': 33}",0.4904803703355382,0.25583333333333336,156.25,24,0,24,0
"(14, 14)",front_rows,True,110000.0,190,110,"{'G1': 56, 'G2': 44, 'G3': 2, 'G4': 8}",95,95,"{'G2': 28, 'G3': 14, 'G4': 16, 'G5': 25, 'G1': 12}","{'G2': 28, 'G3': 14, 'G4': 16, 'G5': 25, 'G1': 12}",0.5375821603603039,0.238,112.5,28,0,28,0
"(14, 14)",front_rows,True,102000.0,198,102,"{'G1': 80, 'G2': 12, 'G3': 2, 'G4': 8}",99,99,"{'G2': 44, 'G3': 14, 'G4': 16, 'G5': 25}","{'G2': 44, 'G3': 14, 'G4': 16, 'G5': 25}",0.5290134486974514,0.23533333333333334,112.5,28,0,28,0
"(14, 14)",front_rows,True,84000.0,216,84,"{'G1': 66, 'G3': 2, 'G4': 16}",108,108,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 12, 'G1': 7}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 12, 'G1': 7}",0.5189034139001223,0.24066666666666667,156.25,28,0,28,0
"(14, 14)",front_rows,False,109002.32539578043,191,109,"{'G1': 55, 'G2': 44, 'G3': 2, 'G4': 8}",95,96,"{'G2': 28, 'G3': 14, 'G4': 16, 'G5': 27, 'G1': 10}","{'G2': 28, 'G3': 14, 'G4': 16, 'G5': 23, 'G1': 15}",0.5394630970667837,0.239,112.5,28,0,28,0
"(14, 14)",front_rows,False,101006.67289674703,199,101,"{'G1': 80, 'G2': 11, 'G3': 2, 'G4': 8}",98,101,"{'G2': 41, 'G3': 14, 'G4': 16, 'G5': 27}","{'G2': 48, 'G3': 14, 'G4': 16, 'G5': 23}",0.5301563789878471,0.236,112.5,28,0,28,0
"(14, 14)",front_rows,False,59076.70243790296,241,59,"{'G1': 33, 'G3': 2, 'G4': 24}",138,103,"{'G2': 72, 'G3': 14, 'G5': 50, 'G1': 2}","{'G2': 28, 'G3': 14, 'G4': 16, 'G1': 45}",0.5308160130411612,0.257,112.5,28,0,28,0
"(14, 14)",side_rows,True,124000.0,176,124,"{'G1': 70, 'G2': 44, 'G3': 2, 'G5': 8}",88,88,"{'G2': 28, 'G3': 14, 'G4': 20, 'G5': 21, 'G1': 5}","{'G2': 28, 'G3': 14, 'G4': 20, 'G5': 21, 'G1': 5}",0.5413440337732636,0.22866666666666666,112.5,28,0,28,0
"(14, 14)",side_rows,True,122000.0,178,122,"{'G1': 80, 'G2': 32, 'G3': 2, 'G5': 8}",89,89,"{'G2': 34, 'G3': 14, 'G4': 20, 'G5': 21}","{'G2': 34, 'G3': 14, 'G4': 20, 'G5': 21}",0.536249830193214,0.22666666666666666,112.5,28,0,28,0
"(14, 14)",side_rows,True,90000.0,210,90,"{'G1': 70, 'G3': 2, 'G4': 18}",105,105,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 11, 'G1': 5}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 11, 'G1': 5}",0.49884008903100413,0.2325,156.25,28,0,28,0
"(14, 14)",side_rows,False,124000.0,176,124,"{'G1': 70, 'G2': 44, 'G3': 2, 'G5': 8}",88,88,"{'G2': 28, 'G3': 14, 'G4': 20, 'G5': 21, 'G1': 5}","{'G2': 28, 'G3': 14, 'G4': 20, 'G5': 21, 'G1': 5}",0.5413440337732636,0.22866666666666666,112.5,28,0,28,0
"(14, 14)",side_rows,False,122000.0,178,122,"{'G1': 80, 'G2': 32, 'G3': 2, 'G5': 8}",89,89,"{'G2': 34, 'G3': 14, 'G4': 20, 'G5': 21}","{'G2': 34, 'G3': 14, 'G4': 20, 'G5': 21}",0.536249830193214,0.22666666666666666,112.5,28,0,28,0
"(14, 14)",side_rows,False,67089.73020836599,233,67,"{'G1': 44, 'G3': 2, 'G4': 21}",137,96,"{'G2': 72, 'G3': 14, 'G5': 48, 'G1': 3}","{'G2': 28, 'G3': 14, 'G5': 2, 'G4': 19, 'G1': 33}",0.5289350763346814,0.25225000000000003,156.25,28,0,28,0
"(14, 14)",checker,True,40000.0,260,40,{'G4': 40},130,130,"{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 40}",0.49988505386793736,0.25916666666666666,150.0,30,0,30,0
"(14, 14)",checker,True,38000.0,262,38,"{'G3': 2, 'G4': 36}",131,131,"{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 2}","{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 2}",0.5176494560958024,0.265,133.33333333333334,28,0,28,0
"(14, 14)",checker,True,32000.0,268,32,"{'G3': 2, 'G4': 30}",134,134,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 40}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 40}",0.5552681902253989,0.2775,156.25,28,0,28,0
"(14, 14)",checker,False,42043.46301137967,258,42,"{'G3': 2, 'G4': 40}",136,122,"{'G2': 38, 'G3': 14, 'G5': 30, 'G1': 54}","{'G2': 62, 'G3': 14, 'G5': 20, 'G1': 26}",0.4925703000094047,0.25666666666666665,133.33333333333334,28,0,28,0
"(14, 14)",checker,False,40125.977333667724,260,40,{'G4': 40},156,104,"{'G2': 72, 'G3': 14, 'G5': 30, 'G1': 40}","{'G2': 28, 'G3': 16, 'G5': 20, 'G1': 40}",0.49988505386793736,0.25916666666666666,150.0,30,0,30,0
"(14, 14)",checker,False,35106.24591314252,265,35,"{'G3': 2, 'G4': 33}",156,109,"{'G2': 72, 'G3': 14, 'G5': 30, 'G1': 40}","{'G2': 28, 'G3': 14, 'G5': 20, 'G4': 7, 'G1': 40}",0.5364588231606007,0.27125,156.25,28,0,28,0
"(6, 8)",front_rows,True,16008.39143442323,284,16,{'G3': 16},144,140,"{'G2': 53, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 47, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,125.0,14,0,14,0
"(6, 8)",front_rows,True,16030.103672006437,284,16,{'G3': 16},148,136,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 47}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 33}",0.692158583863653,0.3225,112.5,14,0,14,0
"(6, 8)",front_rows,True,34004.34179859348,266,34,"{'G1': 18, 'G3': 16}",134,132,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 33}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 29}",0.6583017231470161,0.3045,156.25,14,0,14,0
"(6, 8)",front_rows,False,13208.232528187926,287,13,{'G3': 13},95,192,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 7}","{'G2': 88, 'G3': 11, 'G5': 20, 'G1': 73}",0.703130714651452,0.32625000000000004,112.5,17,0,17,0
"(6, 8)",front_rows,False,22187.791499211053,278,22,"{'G1': 6, 'G3': 16}",96,182,"{'G2': 20, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 80, 'G3': 8, 'G5': 20, 'G1': 74}",0.680872963624774,0.3165,137.14285714285714,14,0,14,0
"(6, 8)",front_rows,False,16095.299964471196,284,16,{'G3': 16},122,162,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 8, 'G4': 10, 'G1': 80}",0.692158583863653,0.3225,156.25,14,0,14,0
"(6, 8)",side_rows,True,16022.380081925243,284,16,{'G3': 16},147,137,"{'G2': 56, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 44, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(6, 8)",side_rows,True,16071.322669467172,284,16,{'G3': 16},156,128,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 55}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 25}",0.692158583863653,0.3225,150.0,14,0,14,0
"(6, 8)",side_rows,True,28009.49417327607,272,28,"{'G1': 12, 'G3': 16}",138,134,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 37}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 31}",0.669587343385895,0.3105,156.25,14,0,14,0
"(6, 8)",side_rows,False,6218.862200486954,294,6,{'G3': 6},95,199,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 7}","{'G2': 88, 'G3': 18, 'G5': 20, 'G1': 73}",0.7287323531563163,0.335,133.33333333333334,24,0,24,0
"(6, 8)",side_rows,False,16198.734375163276,284,16,{'G3': 16},96,188,"{'G2': 20, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 80, 'G3': 8, 'G5': 20, 'G1': 80}",0.692158583863653,0.3225,112.5,14,0,14,0
"(6, 8)",side_rows,False,17093.876151812492,283,17,"{'G1': 1, 'G3': 16}",122,161,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 8, 'G4': 10, 'G1': 79}",0.6902776471571732,0.3215,156.25,14,0,14,0
"(6, 8)",checker,True,16005.962950771707,284,16,"{'G3': 8, 'G4': 8}",141,143,"{'G2': 50, 'G3': 10, 'G4': 16, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 12, 'G4': 16, 'G5': 25, 'G1': 40}",0.6712592871249883,0.31583333333333335,150.0,22,0,22,0
"(6, 8)",checker,True,22001.378298170264,278,22,"{'G3': 16, 'G4': 6}",139,139,"{'G2': 50, 'G3': 6, 'G4': 18, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 8, 'G4': 16, 'G5': 25, 'G1': 40}",0.6545398497340564,0.31,150.0,14,0,14,0
"(6, 8)",checker,True,32005.962950771707,268,32,"{'G3': 16, 'G4': 16}",133,135,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 12, 'G1': 40}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 12, 'G1': 40}",0.5918419595180622,0.2891666666666667,156.25,14,0,14,0
"(6, 8)",checker,False,21052.151630145145,279,21,"{'G3': 13, 'G4': 8}",145,134,"{'G2': 16, 'G3': 6, 'G4': 16, 'G5': 50, 'G1': 57}","{'G2': 84, 'G3': 11, 'G4': 16, 'G1': 23}",0.6529724024786566,0.3095833333333333,137.14285714285714,17,0,17,0
"(6, 8)",checker,False,23142.32638274972,277,23,"{'G3': 15, 'G4': 8}",167,110,"{'G2': 84, 'G3': 6, 'G4': 16, 'G5': 50, 'G1': 11}","{'G2': 16, 'G3': 9, 'G4': 16, 'G1': 69}",0.645657648620124,0.3070833333333333,112.5,15,0,15,0
"(6, 8)",checker,False,32260.209353480255,268,32,"{'G3': 16, 'G4': 16}",187,81,"{'G2': 84, 'G3': 6, 'G5': 50, 'G4': 8, 'G1': 39}","{'G2': 16, 'G3': 8, 'G4': 16, 'G1': 41}",0.5918419595180622,0.2891666666666667,156.25,14,0,14,0
"(8, 6)",front_rows,True,16008.39143442323,284,16,{'G3': 16},140,144,"{'G2': 47, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 53, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,125.0,14,0,14,0
"(8, 6)",front_rows,True,16030.103672006437,284,16,{'G3': 16},136,148,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 33}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 47}",0.692158583863653,0.3225,112.5,14,0,14,0
"(8, 6)",front_rows,True,34004.34179859348,266,34,"{'G1': 18, 'G3': 16}",132,134,"{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 29}","{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 33}",0.6583017231470161,0.3045,156.25,14,0,14,0
"(8, 6)",front_rows,False,16137.603144299195,284,16,{'G3': 16},109,175,"{'G2': 18, 'G3': 8, 'G4': 28, 'G5': 42, 'G1': 13}","{'G2': 82, 'G3': 6, 'G4': 12, 'G5': 8, 'G1': 67}",0.692158583863653,0.3225,112.5,14,0,14,0
"(8, 6)",front_rows,False,16127.879855167874,284,16,{'G3': 16},111,173,"{'G2': 33, 'G3': 8, 'G4': 28, 'G5': 42}","{'G2': 67, 'G3': 6, 'G4': 12, 'G5': 8, 'G1': 80}",0.692158583863653,0.3225,137.14285714285714,14,0,14,0
"(8, 6)",front_rows,False,26037.47279852033,274,26,"{'G1': 10, 'G3': 16}",145,129,"{'G2': 72, 'G3': 8, 'G5': 50, 'G4': 15}","{'G2': 28, 'G3': 6, 'G4': 25, 'G1': 70}",0.6733492167988546,0.3125,156.25,14,0,14,0
"(8, 6)",side_rows,True,16022.380081925243,284,16,{'G3': 16},137,147,"{'G2': 44, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 56, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(8, 6)",side_rows,True,16071.322669467172,284,16,{'G3': 16},128,156,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 25}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 55}",0.692158583863653,0.3225,150.0,14,0,14,0
"(8, 6)",side_rows,True,28009.49417327607,272,28,"{'G1': 12, 'G3': 16}",134,138,"{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 31}","{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 37}",0.669587343385895,0.3105,156.25,14,0,14,0
"(8, 6)",side_rows,False,19201.47935567468,281,19,"{'G2': 3, 'G3': 16}",93,188,"{'G2': 16, 'G3': 8, 'G4': 32, 'G5': 30, 'G1': 7}","{'G2': 81, 'G3': 6, 'G4': 8, 'G5': 20, 'G1': 73}",0.6887297929924658,0.3205,125.0,14,0,14,0
"(8, 6)",side_rows,False,19199.112464340575,281,19,"{'G1': 3, 'G3': 16}",94,187,"{'G2': 24, 'G3': 8, 'G4': 32, 'G5': 30}","{'G2': 76, 'G3': 6, 'G4': 8, 'G5': 20, 'G1': 77}",0.6865157737442136,0.3195,137.14285714285714,14,0,14,0
"(8, 6)",side_rows,False,28012.969885158363,272,28,"{'G1': 12, 'G3': 16}",138,134,"{'G2': 64, 'G3': 8, 'G5': 50, 'G4': 16}","{'G2': 36, 'G3': 6, 'G4': 24, 'G1': 68}",0.669587343385895,0.3105,156.25,14,0,14,0
