split,style,balanced,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count,first_layer_metrics,second_layer_metrics
"(2, 2)",checker,True,1950.7247499999999,298,2,{'G3': 2},149,149,"{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}",0.7433618608733816,0.34,112.5,28,0,28,0,"{'max_standard_layer_z': 180, 'max_standard_layer_area_cm2': 46500, 'max_high_standard_layer_area_cm2': 46500, 'weighted_high_layer_area_cm3': 21926250, 'g3_slot_capacity': 24, 'g3_slot_used': 14, 'g3_slot_surplus': 10, 'g3_area_capacity': 46, 'g3_fragment_loss_slots': 22, 'g3_surplus_area_after_slots_cm2': 82050, 'high_g3_slot_capacity': 22, 'high_g3_slot_used': 12, 'high_g3_slot_surplus': 10}","{'max_standard_layer_z': 180, 'max_standard_layer_area_cm2': 46500, 'max_high_standard_layer_area_cm2': 46500, 'weighted_high_layer_area_cm3': 21926250, 'g3_slot_capacity': 24, 'g3_slot_used': 14, 'g3_slot_surplus': 10, 'g3_area_capacity': 46, 'g3_fragment_loss_slots': 22, 'g3_surplus_area_after_slots_cm2': 82050, 'high_g3_slot_capacity': 22, 'high_g3_slot_used': 12, 'high_g3_slot_surplus': 10}"
"(2, 2)",checker,True,7942.88225,292,8,{'G3': 8},146,146,"{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}",0.7214175992977836,0.3325,112.5,22,0,22,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 42000, 'max_high_standard_layer_area_cm2': 42000, 'weighted_high_layer_area_cm3': 21863750, 'g3_slot_capacity': 24, 'g3_slot_used': 11, 'g3_slot_surplus': 13, 'g3_area_capacity': 42, 'g3_fragment_loss_slots': 18, 'g3_surplus_area_after_slots_cm2': 78275, 'high_g3_slot_capacity': 22, 'high_g3_slot_used': 9, 'high_g3_slot_surplus': 13}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 42000, 'max_high_standard_layer_area_cm2': 42000, 'weighted_high_layer_area_cm3': 21863750, 'g3_slot_capacity': 24, 'g3_slot_used': 11, 'g3_slot_surplus': 13, 'g3_area_capacity': 42, 'g3_fragment_loss_slots': 18, 'g3_surplus_area_after_slots_cm2': 78275, 'high_g3_slot_capacity': 22, 'high_g3_slot_used': 9, 'high_g3_slot_surplus': 13}"
"(6, 8)",side_rows,False,6105.721800486954,294,6,{'G3': 6},95,199,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 7}","{'G2': 88, 'G3': 18, 'G5': 20, 'G1': 73}",0.7287323531563163,0.335,133.33333333333334,24,0,24,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 16800, 'weighted_high_layer_area_cm3': 3528000, 'g3_slot_capacity': 6, 'g3_slot_used': 6, 'g3_slot_surplus': 0, 'g3_area_capacity': 10, 'g3_fragment_loss_slots': 4, 'g3_surplus_area_after_slots_cm2': 16800, 'high_g3_slot_capacity': 0, 'high_g3_slot_used': 0, 'high_g3_slot_surplus': 0}","{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 56000, 'max_high_standard_layer_area_cm2': 56000, 'weighted_high_layer_area_cm3': 27851000, 'g3_slot_capacity': 64, 'g3_slot_used': 18, 'g3_slot_surplus': 46, 'g3_area_capacity': 86, 'g3_fragment_loss_slots': 22, 'g3_surplus_area_after_slots_cm2': 95975, 'high_g3_slot_capacity': 38, 'high_g3_slot_used': 10, 'high_g3_slot_surplus': 28}"
"(6, 8)",side_rows,False,16166.220775163276,284,16,{'G3': 16},96,188,"{'G2': 20, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 80, 'G3': 8, 'G5': 20, 'G1': 80}",0.692158583863653,0.3225,112.5,14,0,14,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 14000, 'weighted_high_layer_area_cm3': 2870000, 'g3_slot_capacity': 6, 'g3_slot_used': 6, 'g3_slot_surplus': 0, 'g3_area_capacity': 10, 'g3_fragment_loss_slots': 4, 'g3_surplus_area_after_slots_cm2': 14000, 'high_g3_slot_capacity': 0, 'high_g3_slot_used': 0, 'high_g3_slot_surplus': 0}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 45500, 'max_high_standard_layer_area_cm2': 25200, 'weighted_high_layer_area_cm3': 29766000, 'g3_slot_capacity': 39, 'g3_slot_used': 8, 'g3_slot_surplus': 31, 'g3_area_capacity': 81, 'g3_fragment_loss_slots': 42, 'g3_surplus_area_after_slots_cm2': 172700, 'high_g3_slot_capacity': 16, 'high_g3_slot_used': 0, 'high_g3_slot_surplus': 16}"
"(4, 4)",side_rows,False,8059.114814082206,292,8,{'G3': 8},104,188,"{'G2': 8, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 15}","{'G2': 92, 'G3': 18, 'G5': 13, 'G1': 65}",0.7214175992977836,0.3325,150.0,22,0,22,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 16800, 'max_high_standard_layer_area_cm2': 16800, 'weighted_high_layer_area_cm3': 4752000, 'g3_slot_capacity': 5, 'g3_slot_used': 4, 'g3_slot_surplus': 1, 'g3_area_capacity': 8, 'g3_fragment_loss_slots': 3, 'g3_surplus_area_after_slots_cm2': 13300, 'high_g3_slot_capacity': 1, 'high_g3_slot_used': 0, 'high_g3_slot_surplus': 1}","{'max_standard_layer_z': 160, 'max_standard_layer_area_cm2': 55200, 'max_high_standard_layer_area_cm2': 49000, 'weighted_high_layer_area_cm3': 16633750, 'g3_slot_capacity': 68, 'g3_slot_used': 18, 'g3_slot_surplus': 50, 'g3_area_capacity': 87, 'g3_fragment_loss_slots': 19, 'g3_surplus_area_after_slots_cm2': 77250, 'high_g3_slot_capacity': 28, 'high_g3_slot_used': 14, 'high_g3_slot_surplus': 14}"
"(4, 4)",side_rows,False,18125.59756790887,282,18,{'G3': 18},108,174,"{'G2': 27, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 73, 'G3': 8, 'G5': 13, 'G1': 80}",0.6848438300051203,0.32,150.0,12,0,12,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 14000, 'max_high_standard_layer_area_cm2': 12250, 'weighted_high_layer_area_cm3': 4086250, 'g3_slot_capacity': 4, 'g3_slot_used': 4, 'g3_slot_surplus': 0, 'g3_area_capacity': 7, 'g3_fragment_loss_slots': 3, 'g3_surplus_area_after_slots_cm2': 12250, 'high_g3_slot_capacity': 0, 'high_g3_slot_used': 0, 'high_g3_slot_surplus': 0}","{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 57750, 'max_high_standard_layer_area_cm2': 23400, 'weighted_high_layer_area_cm3': 17526000, 'g3_slot_capacity': 37, 'g3_slot_used': 8, 'g3_slot_surplus': 29, 'g3_area_capacity': 78, 'g3_fragment_loss_slots': 41, 'g3_surplus_area_after_slots_cm2': 167050, 'high_g3_slot_capacity': 8, 'high_g3_slot_used': 4, 'high_g3_slot_surplus': 4}"
"(2, 2)",front_rows,True,9960.266,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}",0.714102845439251,0.33,150.0,20,0,20,0,"{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 38400, 'max_high_standard_layer_area_cm2': 38400, 'weighted_high_layer_area_cm3': 22220000, 'g3_slot_capacity': 22, 'g3_slot_used': 10, 'g3_slot_surplus': 12, 'g3_area_capacity': 43, 'g3_fragment_loss_slots': 21, 'g3_surplus_area_after_slots_cm2': 91950, 'high_g3_slot_capacity': 20, 'high_g3_slot_used': 8, 'high_g3_slot_surplus': 12}","{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 38400, 'max_high_standard_layer_area_cm2': 38400, 'weighted_high_layer_area_cm3': 22220000, 'g3_slot_capacity': 22, 'g3_slot_used': 10, 'g3_slot_surplus': 12, 'g3_area_capacity': 43, 'g3_fragment_loss_slots': 21, 'g3_surplus_area_after_slots_cm2': 91950, 'high_g3_slot_capacity': 20, 'high_g3_slot_used': 8, 'high_g3_slot_surplus': 12}"
"(2, 2)",front_rows,True,17978.80145,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,150.0,12,0,12,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 33250, 'max_high_standard_layer_area_cm2': 33250, 'weighted_high_layer_area_cm3': 20967750, 'g3_slot_capacity': 18, 'g3_slot_used': 6, 'g3_slot_surplus': 12, 'g3_area_capacity': 40, 'g3_fragment_loss_slots': 22, 'g3_surplus_area_after_slots_cm2': 88225, 'high_g3_slot_capacity': 15, 'high_g3_slot_used': 4, 'high_g3_slot_surplus': 11}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 33250, 'max_high_standard_layer_area_cm2': 33250, 'weighted_high_layer_area_cm3': 20967750, 'g3_slot_capacity': 18, 'g3_slot_used': 6, 'g3_slot_surplus': 12, 'g3_area_capacity': 40, 'g3_fragment_loss_slots': 22, 'g3_surplus_area_after_slots_cm2': 88225, 'high_g3_slot_capacity': 15, 'high_g3_slot_used': 4, 'high_g3_slot_surplus': 11}"
