top_clearance_cm,fixed_coordinates_feasible,avg_volume_utilization
0,是,0.5805268774176338
3,是,0.5883183823850753
6,否,0.5963225007075503
10,否,0.6073407537618222
15,否,0.6217015434438782
20,否,0.6367602113309092
