style,fixed_count,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
right_first,13,218,82,"{'G4': 8, 'G1': 70, 'G3': 4}",109,109,"{'G2': 50, 'G3': 13, 'G4': 16, 'G5': 25, 'G1': 5}","{'G2': 50, 'G3': 13, 'G4': 16, 'G5': 25, 'G1': 5}",0.5542232253884657,0.25083333333333335,128.0,26,0,26,0
right_first,13,216,84,"{'G4': 8, 'G1': 72, 'G3': 4}",108,108,"{'G2': 50, 'G3': 13, 'G4': 16, 'G5': 25, 'G1': 4}","{'G2': 50, 'G3': 13, 'G4': 16, 'G5': 25, 'G1': 4}",0.550461351975506,0.24883333333333332,128.0,26,0,26,0
right_first,13,240,60,"{'G4': 16, 'G1': 40, 'G3': 4}",120,120,"{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 12, 'G1': 20}","{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 12, 'G1': 20}",0.560493014410065,0.26416666666666666,156.25,26,0,26,0
right_first,14,196,104,"{'G4': 8, 'G1': 68, 'G2': 26, 'G3': 2}",98,98,"{'G2': 37, 'G3': 14, 'G4': 16, 'G5': 25, 'G1': 6}","{'G2': 37, 'G3': 14, 'G4': 16, 'G5': 25, 'G1': 6}",0.535583665109669,0.238,112.5,28,0,28,0
right_first,14,206,94,"{'G4': 8, 'G1': 80, 'G2': 4, 'G3': 2}",103,103,"{'G2': 48, 'G3': 14, 'G4': 16, 'G5': 25}","{'G2': 48, 'G3': 14, 'G4': 16, 'G5': 25}",0.5381568910206171,0.24066666666666667,112.5,28,0,28,0
right_first,14,220,80,"{'G4': 16, 'G1': 62, 'G3': 2}",110,110,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 12, 'G1': 9}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 12, 'G1': 9}",0.5264271607260416,0.24466666666666667,156.25,28,0,28,0
rear_first,12,220,80,"{'G1': 70, 'G2': 4, 'G3': 6}",110,110,"{'G2': 48, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 5}","{'G2': 48, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 5}",0.5924950625411455,0.2623333333333333,200.0,24,0,24,0
rear_first,12,216,84,"{'G1': 78, 'G3': 6}",108,108,"{'G2': 50, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 1}","{'G2': 50, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 1}",0.5820192900508898,0.257,200.0,24,0,24,0
rear_first,12,210,90,"{'G4': 16, 'G1': 68, 'G3': 6}",105,105,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 6}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 6}",0.5005120327700973,0.23366666666666666,156.25,24,0,24,0
rear_first,13,222,78,"{'G4': 30, 'G1': 48}",111,111,"{'G2': 50, 'G3': 15, 'G5': 25, 'G4': 5, 'G1': 16}","{'G2': 50, 'G3': 15, 'G5': 25, 'G4': 5, 'G1': 16}",0.47229798217289987,0.232,285.7142857142857,30,0,30,0
rear_first,13,222,78,"{'G4': 30, 'G1': 48}",111,111,"{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 16, 'G4': 5}","{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 16, 'G4': 5}",0.47229798217289987,0.232,285.7142857142857,30,0,30,0
rear_first,13,210,90,"{'G4': 20, 'G1': 66, 'G3': 4}",105,105,"{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 10, 'G1': 7}","{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 10, 'G1': 7}",0.48650950395519194,0.22983333333333333,156.25,26,0,26,0
rear_first,14,210,90,"{'G4': 30, 'G1': 58, 'G3': 2}",105,105,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 11}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 11}",0.4461738612495689,0.2195,285.7142857142857,28,0,28,0
rear_first,14,220,80,"{'G4': 36, 'G1': 42, 'G3': 2}",110,110,"{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 19, 'G4': 2}","{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 19, 'G4': 2}",0.43865011442364965,0.223,274.2857142857143,28,0,28,0
rear_first,14,192,108,"{'G4': 18, 'G1': 70, 'G2': 18, 'G3': 2}",96,96,"{'G2': 41, 'G3': 14, 'G5': 25, 'G4': 11, 'G1': 5}","{'G2': 41, 'G3': 14, 'G5': 25, 'G4': 11, 'G1': 5}",0.478267343803881,0.2205,156.25,28,0,28,0
