vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
A2V12-test,A2G2-001,A2G2,standard,331,137,0,35,32,24,1,floor
A2V12-test,A2G2-002,A2G2,standard,595,137,0,24,35,32,1,floor
A2V12-test,A2G2-003,A2G2,standard,0,141,0,35,32,24,1,floor
A2V12-test,A2G2-004,A2G2,standard,35,141,0,35,32,24,1,floor
A2V12-test,A2G2-005,A2G2,standard,70,141,0,35,32,24,1,floor
A2V12-test,A2G2-006,A2G2,standard,105,141,0,35,32,24,1,floor
A2V12-test,A2G2-007,A2G2,standard,438,144,0,35,32,24,1,floor
A2V12-test,A2G2-008,A2G2,standard,400,145,0,35,32,24,1,floor
A2V12-test,A2G2-009,A2G2,standard,532,145,0,35,32,24,1,floor
A2V12-test,A2G2-010,A2G2,standard,152,159,0,24,35,32,1,floor
